   .Foto #1	-- Fecha	02/09/2025---10:02:06 a. m.
   	Wavelength	Dark Substract	
3.515791E+2	1.433578E+0
3.516915E+2	1.146863E+1
3.518040E+2	7.905159E+0
3.519164E+2	1.259501E+1
3.520287E+2	7.864200E+0
3.521411E+2	-1.064944E+0
3.522535E+2	-2.355164E+0
3.523658E+2	1.245165E+1
3.524782E+2	-1.843172E-1
3.525905E+2	1.269741E+0
3.527028E+2	6.021028E+0
3.528151E+2	5.529516E-1
3.529274E+2	1.030128E+1
3.530397E+2	2.334684E+0
3.531519E+2	2.949075E+0
3.532642E+2	5.590955E+0
3.533764E+2	-5.570475E+0
3.534886E+2	2.027489E+0
3.536008E+2	5.160881E+0
3.537130E+2	4.607930E+0
3.538252E+2	-6.307744E+0
3.539374E+2	6.348703E+0
3.540495E+2	5.857191E+0
3.541616E+2	1.146862E+1
3.542738E+2	-2.990034E+0
3.543859E+2	-2.007009E+0
3.544980E+2	1.413098E+0
3.546101E+2	1.222637E+1
3.547221E+2	3.624905E+0
3.548342E+2	1.030128E+1
3.549463E+2	8.068997E+0
3.550583E+2	1.720294E+1
3.551703E+2	1.320940E+1
3.552823E+2	1.054704E+1
3.553943E+2	4.812727E+0
3.555063E+2	3.420108E+0
3.556183E+2	2.150367E+0
3.557302E+2	-9.645933E+0
3.558422E+2	1.253357E+1
3.559541E+2	2.068448E+0
3.560660E+2	7.085972E+0
3.561779E+2	1.331180E+0
3.562898E+2	3.973059E+0
3.564017E+2	8.396672E-1
3.565136E+2	-2.785238E+0
3.566254E+2	1.101807E+1
3.567372E+2	5.201841E+0
3.568491E+2	7.761802E+0
3.569609E+2	1.140719E+1
3.570727E+2	6.287264E+0
3.571845E+2	1.187822E+0
3.572962E+2	5.836711E+0
3.574080E+2	1.044464E+0
3.575197E+2	8.294273E+0
3.576315E+2	1.249261E+0
3.577432E+2	2.566105E+1
3.578549E+2	8.908664E+0
3.579666E+2	1.005553E+1
3.580783E+2	5.242800E+0
3.581900E+2	7.167891E+0
3.583016E+2	9.973608E+0
3.584133E+2	1.802213E+0
3.585249E+2	1.462250E+1
3.586365E+2	1.003505E+1
3.587481E+2	2.723798E+0
3.588597E+2	1.021936E+1
3.589713E+2	8.150916E+0
3.590829E+2	1.036272E+1
3.591944E+2	6.143906E-1
3.593059E+2	-3.870661E+0
3.594175E+2	1.298412E+1
3.595290E+2	-1.556456E+0
3.596405E+2	1.271789E+1
3.597520E+2	9.564014E+0
3.598635E+2	4.177856E+0
3.599749E+2	1.107951E+1
3.600864E+2	5.283759E+0
3.601978E+2	-4.136897E+0
3.603092E+2	4.321214E+0
3.604206E+2	2.457563E+0
3.605320E+2	1.179630E+1
3.606434E+2	-1.392619E+0
